Designator,Val,Package,MidX,MidY,Rotation,Layer
Q1,MMBTA42,SOT-23,107.442,-138.176,-90,bottom
Q2,MMBTA42,SOT-23,109.728,-164.338,90,bottom
Q3,MMBTA42,SOT-23,103.378,-138.43,-90,bottom
Q4,MMBTA42,SOT-23,97.536,-152.654,180,bottom
Q5,MMBTA42,SOT-23,117.9345,-164.15,0,bottom
Q6,MMBTA42,SOT-23,103.632,-164.0055,90,bottom
Q7,MMBTA42,SOT-23,125.476,-153.0096,0,bottom
Q8,MMBTA42,SOT-23,114.112,-137.3355,-90,bottom
Q9,MMBTA42,SOT-23,123.632,-146.4795,-90,bottom
Q10,MMBTA42,SOT-23,117.856,-139.446,-90,bottom
Q11,MMBTA42,SOT-23,147.066,-138.176,-90,bottom
Q12,MMBTA42,SOT-23,149.54,-165.1785,90,bottom
Q13,MMBTA42,SOT-23,142.748,-139.7,-90,bottom
Q14,MMBTA42,SOT-23,138.176,-156.464,90,bottom
Q15,MMBTA42,SOT-23,157.9345,-163.51,0,bottom
Q16,MMBTA42,SOT-23,141.732,-161.544,90,bottom
Q17,MMBTA42,SOT-23,163.6545,-157.546,0,bottom
Q18,MMBTA42,SOT-23,154.686,-138.0005,-90,bottom
Q19,MMBTA42,SOT-23,165.1785,-153.228,0,bottom
Q20,MMBTA42,SOT-23,158.242,-139.954,-90,bottom
Q21,MMBTA42,SOT-23,188.468,-137.668,-90,bottom
Q22,MMBTA42,SOT-23,189.672,-165.4325,90,bottom
Q23,MMBTA42,SOT-23,184.404,-138.43,-90,bottom
Q24,MMBTA42,SOT-23,178.1325,-154.94,180,bottom
Q25,MMBTA42,SOT-23,195.834,-162.7355,90,bottom
Q26,MMBTA42,SOT-23,179.578,-159.512,180,bottom
Q27,MMBTA42,SOT-23,204.0405,-156.784,0,bottom
Q28,MMBTA42,SOT-23,194.056,-137.668,-90,bottom
Q29,MMBTA42,SOT-23,205.0565,-150.048,0,bottom
Q30,MMBTA42,SOT-23,197.866,-139.954,-90,bottom
Q31,MMBTA42,SOT-23,228.854,-138.684,-90,bottom
Q32,MMBTA42,SOT-23,233.172,-163.068,90,bottom
Q33,MMBTA42,SOT-23,224.028,-140.462,-90,bottom
Q34,MMBTA42,SOT-23,219.202,-154.94,180,bottom
Q35,MMBTA42,SOT-23,241.808,-159.832,0,bottom
Q36,MMBTA42,SOT-23,221.742,-160.274,90,bottom
Q37,MMBTA42,SOT-23,244.094,-154.874,0,bottom
Q38,MMBTA42,SOT-23,233.492,-138.8595,-90,bottom
Q39,MMBTA42,SOT-23,244.1725,-148.778,0,bottom
Q40,MMBTA42,SOT-23,237.998,-140.716,-90,bottom
Q41,MMBTA42,SOT-23,267.462,-138.176,-90,bottom
Q42,MMBTA42,SOT-23,269.748,-164.084,90,bottom
Q43,MMBTA42,SOT-23,262.89,-140.716,-90,bottom
Q44,MMBTA42,SOT-23,257.81,-151.384,180,bottom
Q45,MMBTA42,SOT-23,279.7325,-162.118,0,bottom
Q46,MMBTA42,SOT-23,259.588,-156.972,180,bottom
Q47,MMBTA42,SOT-23,282.702,-158.242,0,bottom
Q48,MMBTA42,SOT-23,272.542,-137.922,-90,bottom
Q49,MMBTA42,SOT-23,284.0505,-153.924,0,bottom
Q50,MMBTA42,SOT-23,277.622,-138.5085,-90,bottom
Q51,MMBTA42,SOT-23,307.848,-138.684,-90,bottom
Q52,MMBTA42,SOT-23,309.626,-165.1,90,bottom
Q53,MMBTA42,SOT-23,304.038,-139.954,-90,bottom
Q54,MMBTA42,SOT-23,297.688,-152.4,180,bottom
Q55,MMBTA42,SOT-23,315.91,-163.4005,90,bottom
Q56,MMBTA42,SOT-23,303.022,-161.7195,90,bottom
Q57,MMBTA42,SOT-23,321.31,-161.9735,90,bottom
